monthly mean of baseline data from 1995/10 to 2022/06; created: 16-Jul-2023
comment: MD measurements. Output from GCWerks. See Prinn et al. (2000).
data_owner_email: rfweiss@ucsd.edu, jmuhle@ucsd.edu
data_owner: Ray F. Weiss, Jens Muhle
station_long_name: Trinidad Head, California
inlet_base_elevation_masl: 107.000000
inlet_latitude: 41.0541
inlet_longitude: -124.151
data_dir: /agage/trinidadhead
species: ch3ccl3
calibration_scale: SIO-05
units: ppt
file_created: 2023-04-22 21:31:11
filled (flagged) data value: -99.900
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.

CONTACT POINT: rfweiss@ucsd.edu; charth@ucsd.edu; raywang@eas.gatech.edu 
 
1st column, time in farction of year
2nd column, year (YYYY)
3rd column, month (1 to 12)
4th column, mean (monthly mean value)
5th column, std. dev. (standard deviation of monthly mean)
6th column, numb (number of measurements for monthly mean)
     time   year  month          mean     std. dev.    numb
 2015.708   2015      9           NaN           NaN       0
 2015.792   2015     10           NaN           NaN       0
 2015.875   2015     11           NaN           NaN       0
 2015.958   2015     12           NaN           NaN       0
 2016.042   2016      1           NaN           NaN       0
 2016.125   2016      2           NaN           NaN       0
 2016.208   2016      3           NaN           NaN       0
 2016.292   2016      4           NaN           NaN       0
 2016.375   2016      5           NaN           NaN       0
 2016.458   2016      6           NaN           NaN       0
 2016.542   2016      7           NaN           NaN       0
 2016.625   2016      8           NaN           NaN       0
 2016.708   2016      9           NaN           NaN       0
 2016.792   2016     10           NaN           NaN       0
 2016.875   2016     11           NaN           NaN       0
 2016.958   2016     12           NaN           NaN       0
 2017.042   2017      1           NaN           NaN       0
 2017.125   2017      2           NaN           NaN       0
 2017.208   2017      3           NaN           NaN       0
 2017.292   2017      4           NaN           NaN       0
 2017.375   2017      5           NaN           NaN       0
 2017.458   2017      6           NaN           NaN       0
 2017.542   2017      7           NaN           NaN       0
 2017.625   2017      8           NaN           NaN       0
 2017.708   2017      9           NaN           NaN       0
 2017.792   2017     10           NaN           NaN       0
 2017.875   2017     11           NaN           NaN       0
 2017.958   2017     12           NaN           NaN       0
 2018.042   2018      1           NaN           NaN       0
 2018.125   2018      2           NaN           NaN       0
 2018.208   2018      3           NaN           NaN       0
 2018.292   2018      4           NaN           NaN       0
 2018.375   2018      5           NaN           NaN       0
 2018.458   2018      6           NaN           NaN       0
 2018.542   2018      7           NaN           NaN       0
 2018.625   2018      8           NaN           NaN       0
 2018.708   2018      9           NaN           NaN       0
 2018.792   2018     10           NaN           NaN       0
 2018.875   2018     11           NaN           NaN       0
 2018.958   2018     12           NaN           NaN       0
 2019.042   2019      1           NaN           NaN       0
 2019.125   2019      2           NaN           NaN       0
 2019.208   2019      3           NaN           NaN       0
 2019.292   2019      4           NaN           NaN       0
 2019.375   2019      5           NaN           NaN       0
 2019.458   2019      6           NaN           NaN       0
 2019.542   2019      7           NaN           NaN       0
 2019.625   2019      8           NaN           NaN       0
 2019.708   2019      9           NaN           NaN       0
 2019.792   2019     10           NaN           NaN       0
 2019.875   2019     11           NaN           NaN       0
 2019.958   2019     12           NaN           NaN       0
 2020.042   2020      1           NaN           NaN       0
 2020.125   2020      2           NaN           NaN       0
 2020.208   2020      3           NaN           NaN       0
 2020.292   2020      4           NaN           NaN       0
 2020.375   2020      5           NaN           NaN       0
 2020.458   2020      6           NaN           NaN       0
 2020.542   2020      7           NaN           NaN       0
 2020.625   2020      8           NaN           NaN       0
 2020.708   2020      9           NaN           NaN       0
 2020.792   2020     10           NaN           NaN       0
 2020.875   2020     11           NaN           NaN       0
 2020.958   2020     12           NaN           NaN       0
 2021.042   2021      1           NaN           NaN       0
 2021.125   2021      2           NaN           NaN       0
 2021.208   2021      3           NaN           NaN       0
 2021.292   2021      4           NaN           NaN       0
 2021.375   2021      5           NaN           NaN       0
 2021.458   2021      6           NaN           NaN       0
 2021.542   2021      7           NaN           NaN       0
 2021.625   2021      8           NaN           NaN       0
 2021.708   2021      9           NaN           NaN       0
 2021.792   2021     10           NaN           NaN       0
 2021.875   2021     11           NaN           NaN       0
 2021.958   2021     12           NaN           NaN       0
 2022.042   2022      1           NaN           NaN       0
 2022.125   2022      2           NaN           NaN       0
 2022.208   2022      3           NaN           NaN       0
 2022.292   2022      4           NaN           NaN       0
 2022.375   2022      5           NaN           NaN       0
 2022.458   2022      6           NaN           NaN       0
